Core, 0
Cumulative Cycles, 78573697            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.25454
Periodic Cycles, 39018645            
Periodic Instructions, 10000000            
Periodic IPC, 0.25629

EXECUTION_TIME_count, 12193326562500
EXECUTION_TIME_total_count, 24554280312500

NODE_CYCLE_count,      39018645
NODE_CYCLE_total_count,      78573697

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,        463508
NODE_INST_COUNT_FETCHED_total_count,        761055

NODE_UOP_COUNT_count,      38735502
NODE_UOP_COUNT_total_count,      77922936

FULL_WINDOW_STALL_count,         78386
FULL_WINDOW_STALL_pct,        0.201
FULL_WINDOW_STALL_total_count,        142496
FULL_WINDOW_STALL_total_pct,        0.181

FULL_WINDOW_MEM_OP_count,         77122
FULL_WINDOW_MEM_OP_pct,       99.929
FULL_WINDOW_MEM_OP_total_count,        139919
FULL_WINDOW_MEM_OP_total_pct,       99.946

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,            55
FULL_WINDOW_OTHER_OP_pct,        0.071
FULL_WINDOW_OTHER_OP_total_count,            76
FULL_WINDOW_OTHER_OP_total_pct,        0.054
FULL_WINDOW_OTHER_OP_sum_count,         77177
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        139995
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.05
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.05

RET_BLOCKED_DC_MISS_count,        297060
RET_BLOCKED_DC_MISS_pct,        0.761
RET_BLOCKED_DC_MISS_total_count,        587982
RET_BLOCKED_DC_MISS_total_pct,        0.748

RET_BLOCKED_L1_MISS_count,        221328
RET_BLOCKED_L1_MISS_pct,        0.567
RET_BLOCKED_L1_MISS_total_count,        442342
RET_BLOCKED_L1_MISS_total_pct,        0.563

RET_BLOCKED_L1_MISS_BW_PREF_count,           511
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.001
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           631
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.001

RET_BLOCKED_L1_ACCESS_count,         78664
RET_BLOCKED_L1_ACCESS_pct,        0.202
RET_BLOCKED_L1_ACCESS_total_count,        152109
RET_BLOCKED_L1_ACCESS_total_pct,        0.194

RET_BLOCKED_MEM_STALL_count,        221349
RET_BLOCKED_MEM_STALL_pct,        0.567
RET_BLOCKED_MEM_STALL_total_count,        442407
RET_BLOCKED_MEM_STALL_total_pct,        0.563

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      38797476
OP_ISSUED_total_count,      78074169

OP_RETIRED_count,      38735502
OP_RETIRED_total_count,      77922936

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         24599
LD_NO_DEPENDENTS_pct,       18.344
LD_NO_DEPENDENTS_total_count,         40229
LD_NO_DEPENDENTS_total_pct,       18.288

LD_DEPENDENTS_count,        109499
LD_DEPENDENTS_pct,       81.656
LD_DEPENDENTS_total_count,        179743
LD_DEPENDENTS_total_pct,       81.712
LD_DEPENDENTS_sum_count,        134098
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,        219972
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.82
LD_DEPENDENTS_stddev,         0.76
LD_DEPENDENTS_total_mean,         0.82
LD_DEPENDENTS_total_stddev,         0.76

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

