Core, 0
Cumulative Cycles, 22009894            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.90868
Periodic Cycles, 10959194            
Periodic Instructions, 10000000            
Periodic IPC, 0.91248

EXECUTION_TIME_count, 3424748125000
EXECUTION_TIME_total_count, 6878091875000

NODE_CYCLE_count,      10959194
NODE_CYCLE_total_count,      22009894

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,        463508
NODE_INST_COUNT_FETCHED_total_count,        761055

NODE_UOP_COUNT_count,      38735502
NODE_UOP_COUNT_total_count,      77922936

FULL_WINDOW_STALL_count,       9676610
FULL_WINDOW_STALL_pct,       88.297
FULL_WINDOW_STALL_total_count,      19495231
FULL_WINDOW_STALL_total_pct,       88.575

FULL_WINDOW_MEM_OP_count,        211512
FULL_WINDOW_MEM_OP_pct,       99.994
FULL_WINDOW_MEM_OP_total_count,        414929
FULL_WINDOW_MEM_OP_total_pct,       99.997

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,            12
FULL_WINDOW_OTHER_OP_pct,        0.006
FULL_WINDOW_OTHER_OP_total_count,            12
FULL_WINDOW_OTHER_OP_total_pct,        0.003
FULL_WINDOW_OTHER_OP_sum_count,        211524
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        414941
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.02
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.01

RET_BLOCKED_DC_MISS_count,        453174
RET_BLOCKED_DC_MISS_pct,        4.135
RET_BLOCKED_DC_MISS_total_count,        873255
RET_BLOCKED_DC_MISS_total_pct,        3.968

RET_BLOCKED_L1_MISS_count,       2436443
RET_BLOCKED_L1_MISS_pct,       22.232
RET_BLOCKED_L1_MISS_total_count,       4918092
RET_BLOCKED_L1_MISS_total_pct,       22.345

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,        245321
RET_BLOCKED_L1_ACCESS_pct,        2.238
RET_BLOCKED_L1_ACCESS_total_count,        451098
RET_BLOCKED_L1_ACCESS_total_pct,        2.050

RET_BLOCKED_MEM_STALL_count,       2437032
RET_BLOCKED_MEM_STALL_pct,       22.237
RET_BLOCKED_MEM_STALL_total_count,       4919280
RET_BLOCKED_MEM_STALL_total_pct,       22.350

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      38918844
OP_ISSUED_total_count,      78273850

OP_RETIRED_count,      38735502
OP_RETIRED_total_count,      77922936

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         15060
LD_NO_DEPENDENTS_pct,       11.231
LD_NO_DEPENDENTS_total_count,         26525
LD_NO_DEPENDENTS_total_pct,       12.058

LD_DEPENDENTS_count,        119038
LD_DEPENDENTS_pct,       88.769
LD_DEPENDENTS_total_count,        193447
LD_DEPENDENTS_total_pct,       87.942
LD_DEPENDENTS_sum_count,        134098
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,        219972
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.89
LD_DEPENDENTS_stddev,         0.84
LD_DEPENDENTS_total_mean,         0.88
LD_DEPENDENTS_total_stddev,         0.83

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
