Core, 0
Cumulative Cycles, 80009400            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.24997
Periodic Cycles, 39999048            
Periodic Instructions, 10000000            
Periodic IPC, 0.25001

EXECUTION_TIME_count, 12499702500000
EXECUTION_TIME_total_count, 25002937500000

NODE_CYCLE_count,      39999048
NODE_CYCLE_total_count,      80009400

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,          1612
NODE_INST_COUNT_FETCHED_total_count,          4031

NODE_UOP_COUNT_count,      39995812
NODE_UOP_COUNT_total_count,      79989530

FULL_WINDOW_STALL_count,          3574
FULL_WINDOW_STALL_pct,        0.009
FULL_WINDOW_STALL_total_count,          9426
FULL_WINDOW_STALL_total_pct,        0.012

FULL_WINDOW_MEM_OP_count,          3536
FULL_WINDOW_MEM_OP_pct,      100.000
FULL_WINDOW_MEM_OP_total_count,          9320
FULL_WINDOW_MEM_OP_total_pct,       99.989

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             1
FULL_WINDOW_OTHER_OP_total_pct,        0.011
FULL_WINDOW_OTHER_OP_sum_count,          3536
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,          9321
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.00
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.02

RET_BLOCKED_DC_MISS_count,          4974
RET_BLOCKED_DC_MISS_pct,        0.012
RET_BLOCKED_DC_MISS_total_count,         18421
RET_BLOCKED_DC_MISS_total_pct,        0.023

RET_BLOCKED_L1_MISS_count,          4651
RET_BLOCKED_L1_MISS_pct,        0.012
RET_BLOCKED_L1_MISS_total_count,         16757
RET_BLOCKED_L1_MISS_total_pct,        0.021

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,           704
RET_BLOCKED_L1_ACCESS_pct,        0.002
RET_BLOCKED_L1_ACCESS_total_count,          2845
RET_BLOCKED_L1_ACCESS_total_pct,        0.004

RET_BLOCKED_MEM_STALL_count,          4651
RET_BLOCKED_MEM_STALL_pct,        0.012
RET_BLOCKED_MEM_STALL_total_count,         16757
RET_BLOCKED_MEM_STALL_total_pct,        0.021

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      39995816
OP_ISSUED_total_count,      79992811

OP_RETIRED_count,      39995812
OP_RETIRED_total_count,      79989530

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

