Core, 0
Cumulative Cycles, 8371146             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.38916
Periodic Cycles, 4017248             
Periodic Instructions, 10000000            
Periodic IPC, 2.48927

BTB_ON_PATH_MISS_count,        351285
BTB_ON_PATH_MISS_pct,       19.824
BTB_ON_PATH_MISS_total_count,        707085
BTB_ON_PATH_MISS_total_pct,       19.875

BTB_ON_PATH_HIT_count,       1420735
BTB_ON_PATH_HIT_pct,       80.176
BTB_ON_PATH_HIT_total_count,       2850539
BTB_ON_PATH_HIT_total_pct,       80.125
BTB_ON_PATH_HIT_sum_count,       1772020
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       3557624
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.80
BTB_ON_PATH_HIT_stddev,         0.74
BTB_ON_PATH_HIT_total_mean,         0.80
BTB_ON_PATH_HIT_total_stddev,         0.74

BTB_OFF_PATH_MISS_count,        155765
BTB_OFF_PATH_MISS_pct,       20.707
BTB_OFF_PATH_MISS_total_count,        404515
BTB_OFF_PATH_MISS_total_pct,       20.565

BTB_OFF_PATH_HIT_count,        596479
BTB_OFF_PATH_HIT_pct,       79.293
BTB_OFF_PATH_HIT_total_count,       1562460
BTB_OFF_PATH_HIT_total_pct,       79.435
BTB_OFF_PATH_HIT_sum_count,        752244
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       1966975
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.79
BTB_OFF_PATH_HIT_stddev,         0.73
BTB_OFF_PATH_HIT_total_mean,         0.79
BTB_OFF_PATH_HIT_total_stddev,         0.73

BTB_ON_PATH_WRITE_count,         56826
BTB_ON_PATH_WRITE_pct,       99.128
BTB_ON_PATH_WRITE_total_count,        114183
BTB_ON_PATH_WRITE_total_pct,       98.983

BTB_OFF_PATH_WRITE_count,           500
BTB_OFF_PATH_WRITE_pct,        0.872
BTB_OFF_PATH_WRITE_total_count,          1173
BTB_OFF_PATH_WRITE_total_pct,        1.017
BTB_OFF_PATH_WRITE_sum_count,         57326
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        115356
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.09
BTB_OFF_PATH_WRITE_total_mean,         0.01
BTB_OFF_PATH_WRITE_total_stddev,         0.10

BP_ON_PATH_CORRECT_count,       1760259
BP_ON_PATH_CORRECT_pct,       99.336
BP_ON_PATH_CORRECT_total_count,       3526814
BP_ON_PATH_CORRECT_total_pct,       99.134

BP_ON_PATH_MISPREDICT_count,          5656
BP_ON_PATH_MISPREDICT_pct,        0.319
BP_ON_PATH_MISPREDICT_total_count,         18366
BP_ON_PATH_MISPREDICT_total_pct,        0.516

BP_ON_PATH_MISFETCH_count,          6105
BP_ON_PATH_MISFETCH_pct,        0.345
BP_ON_PATH_MISFETCH_total_count,         12444
BP_ON_PATH_MISFETCH_total_pct,        0.350
BP_ON_PATH_MISFETCH_sum_count,       1772020
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       3557624
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.01
BP_ON_PATH_MISFETCH_stddev,         0.13
BP_ON_PATH_MISFETCH_total_mean,         0.01
BP_ON_PATH_MISFETCH_total_stddev,         0.14

BP_OFF_PATH_CORRECT_count,        725652
BP_OFF_PATH_CORRECT_pct,       96.465
BP_OFF_PATH_CORRECT_total_count,       1903686
BP_OFF_PATH_CORRECT_total_pct,       96.782

BP_OFF_PATH_MISPREDICT_count,          1303
BP_OFF_PATH_MISPREDICT_pct,        0.173
BP_OFF_PATH_MISPREDICT_total_count,          3675
BP_OFF_PATH_MISPREDICT_total_pct,        0.187

BP_OFF_PATH_MISFETCH_count,         25289
BP_OFF_PATH_MISFETCH_pct,        3.362
BP_OFF_PATH_MISFETCH_total_count,         59614
BP_OFF_PATH_MISFETCH_total_pct,        3.031
BP_OFF_PATH_MISFETCH_sum_count,        752244
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       1966975
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.07
BP_OFF_PATH_MISFETCH_stddev,         0.36
BP_OFF_PATH_MISFETCH_total_mean,         0.06
BP_OFF_PATH_MISFETCH_total_stddev,         0.34

LATE_BP_ON_PATH_CORRECT_count,       1772020
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       3557624
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1772020
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       3557624
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

