Core, 0
Cumulative Cycles, 28977932            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.69018
Periodic Cycles, 13145067            
Periodic Instructions, 9999997             
Periodic IPC, 0.76074

MISS_WAIT_TIME_count,   28397859219
MISS_WAIT_TIME_total_count,   41058554897

ICACHE_STAGE_MISS_count,          1369
ICACHE_STAGE_MISS_total_count,          3549

ICACHE_CYCLE_count,      13145067
ICACHE_CYCLE_total_count,      28977932

TCACHE_CYCLE_count,             0
TCACHE_CYCLE_total_count,             0

ICACHE_CYCLE_ONPATH_count,      10574980
ICACHE_CYCLE_ONPATH_pct,       80.448
ICACHE_CYCLE_ONPATH_total_count,      24432918
ICACHE_CYCLE_ONPATH_total_pct,       84.316

ICACHE_CYCLE_OFFPATH_count,       2570087
ICACHE_CYCLE_OFFPATH_pct,       19.552
ICACHE_CYCLE_OFFPATH_total_count,       4545014
ICACHE_CYCLE_OFFPATH_total_pct,       15.684
ICACHE_CYCLE_OFFPATH_sum_count,      13145067
ICACHE_CYCLE_OFFPATH_sum_pct,      100.000
ICACHE_CYCLE_OFFPATH_sum_total_count,      28977932
ICACHE_CYCLE_OFFPATH_sum_total_pct,      100.000
ICACHE_CYCLE_OFFPATH_mean,         0.20
ICACHE_CYCLE_OFFPATH_stddev,         0.37
ICACHE_CYCLE_OFFPATH_total_mean,         0.16
ICACHE_CYCLE_OFFPATH_total_stddev,         0.34

FETCH_ON_PATH_count,       2923708
FETCH_ON_PATH_pct,       82.955
FETCH_ON_PATH_total_count,       5837516
FETCH_ON_PATH_total_pct,       83.932

FETCH_OFF_PATH_count,        600722
FETCH_OFF_PATH_pct,       17.045
FETCH_OFF_PATH_total_count,       1117565
FETCH_OFF_PATH_total_pct,       16.068
FETCH_OFF_PATH_sum_count,       3524430
FETCH_OFF_PATH_sum_pct,      100.000
FETCH_OFF_PATH_sum_total_count,       6955081
FETCH_OFF_PATH_sum_total_pct,      100.000
FETCH_OFF_PATH_mean,         0.17
FETCH_OFF_PATH_stddev,         0.35
FETCH_OFF_PATH_total_mean,         0.16
FETCH_OFF_PATH_total_stddev,         0.34

FETCHED_OPS_ON_PATH_count,             0
FETCHED_OPS_ON_PATH_pct,         -nan
FETCHED_OPS_ON_PATH_total_count,             0
FETCHED_OPS_ON_PATH_total_pct,         -nan

FETCHED_OPS_OFF_PATH_count,             0
FETCHED_OPS_OFF_PATH_pct,         -nan
FETCHED_OPS_OFF_PATH_total_count,             0
FETCHED_OPS_OFF_PATH_total_pct,         -nan
FETCHED_OPS_OFF_PATH_sum_count,             0
FETCHED_OPS_OFF_PATH_sum_pct,         -nan
FETCHED_OPS_OFF_PATH_sum_total_count,             0
FETCHED_OPS_OFF_PATH_sum_total_pct,         -nan
FETCHED_OPS_OFF_PATH_mean,         -nan
FETCHED_OPS_OFF_PATH_stddev,         -nan
FETCHED_OPS_OFF_PATH_total_mean,         -nan
FETCHED_OPS_OFF_PATH_total_stddev,         -nan

INST_LOST_FETCH_count,      12101436
INST_LOST_FETCH_pct,       15.390
INST_LOST_FETCH_total_count,      24173226
INST_LOST_FETCH_total_pct,       13.946

INST_LOST_OFF_PATH_count,       2786471
INST_LOST_OFF_PATH_pct,        3.544
INST_LOST_OFF_PATH_total_count,       5074560
INST_LOST_OFF_PATH_total_pct,        2.928

INST_LOST_FULL_WINDOW_count,         29856
INST_LOST_FULL_WINDOW_pct,        0.038
INST_LOST_FULL_WINDOW_total_count,         63408
INST_LOST_FULL_WINDOW_total_pct,        0.037

INST_LOST_ROB_STALL_OTHER_count,       1231320
INST_LOST_ROB_STALL_OTHER_pct,        1.566
INST_LOST_ROB_STALL_OTHER_total_count,       2629860
INST_LOST_ROB_STALL_OTHER_total_pct,        1.517

INST_LOST_ROB_STALL_WAIT_FOR_RECOVERY_count,           660
INST_LOST_ROB_STALL_WAIT_FOR_RECOVERY_pct,        0.001
INST_LOST_ROB_STALL_WAIT_FOR_RECOVERY_total_count,          2766
INST_LOST_ROB_STALL_WAIT_FOR_RECOVERY_total_pct,        0.002

INST_LOST_ROB_STALL_WAIT_FOR_REDIRECT_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_REDIRECT_pct,        0.000
INST_LOST_ROB_STALL_WAIT_FOR_REDIRECT_total_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_REDIRECT_total_pct,        0.000

INST_LOST_ROB_STALL_WAIT_FOR_GAP_FILL_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_GAP_FILL_pct,        0.000
INST_LOST_ROB_STALL_WAIT_FOR_GAP_FILL_total_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_GAP_FILL_total_pct,        0.000

INST_LOST_ROB_STALL_WAIT_FOR_L1_MISS_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_L1_MISS_pct,        0.000
INST_LOST_ROB_STALL_WAIT_FOR_L1_MISS_total_count,             0
INST_LOST_ROB_STALL_WAIT_FOR_L1_MISS_total_pct,        0.000

INST_LOST_ROB_STALL_WAIT_FOR_MEMORY_count,          1698
INST_LOST_ROB_STALL_WAIT_FOR_MEMORY_pct,        0.002
INST_LOST_ROB_STALL_WAIT_FOR_MEMORY_total_count,          2760
INST_LOST_ROB_STALL_WAIT_FOR_MEMORY_total_pct,        0.002

INST_LOST_ROB_STALL_WAIT_FOR_DC_MISS_count,      56460288
INST_LOST_ROB_STALL_WAIT_FOR_DC_MISS_pct,       71.804
INST_LOST_ROB_STALL_WAIT_FOR_DC_MISS_total_count,     129438312
INST_LOST_ROB_STALL_WAIT_FOR_DC_MISS_total_pct,       74.676

INST_LOST_ROB_BLOCK_ISSUE_FULL_count,             0
INST_LOST_ROB_BLOCK_ISSUE_FULL_pct,        0.000
INST_LOST_ROB_BLOCK_ISSUE_FULL_total_count,             0
INST_LOST_ROB_BLOCK_ISSUE_FULL_total_pct,        0.000

INST_LOST_ROB_BLOCK_ISSUE_GAP_TOO_LARGE_count,             0
INST_LOST_ROB_BLOCK_ISSUE_GAP_TOO_LARGE_pct,        0.000
INST_LOST_ROB_BLOCK_ISSUE_GAP_TOO_LARGE_total_count,             0
INST_LOST_ROB_BLOCK_ISSUE_GAP_TOO_LARGE_total_pct,        0.000

INST_LOST_BREAK_DONT_count,             0
INST_LOST_BREAK_DONT_pct,        0.000
INST_LOST_BREAK_DONT_total_count,             0
INST_LOST_BREAK_DONT_total_pct,        0.000

INST_LOST_BREAK_RENAME_count,             0
INST_LOST_BREAK_RENAME_pct,        0.000
INST_LOST_BREAK_RENAME_total_count,             0
INST_LOST_BREAK_RENAME_total_pct,        0.000

INST_LOST_BREAK_FT_UNAVAILABLE_count,          2355
INST_LOST_BREAK_FT_UNAVAILABLE_pct,        0.003
INST_LOST_BREAK_FT_UNAVAILABLE_total_count,          2355
INST_LOST_BREAK_FT_UNAVAILABLE_total_pct,        0.001

INST_LOST_BREAK_ICACHE_TO_UOP_CACHE_SWITCH_count,         69493
INST_LOST_BREAK_ICACHE_TO_UOP_CACHE_SWITCH_pct,        0.088
INST_LOST_BREAK_ICACHE_TO_UOP_CACHE_SWITCH_total_count,        128117
INST_LOST_BREAK_ICACHE_TO_UOP_CACHE_SWITCH_total_pct,        0.074

INST_LOST_BREAK_ICACHE_MISS_REQ_SUCCESS_count,          4780
INST_LOST_BREAK_ICACHE_MISS_REQ_SUCCESS_pct,        0.006
INST_LOST_BREAK_ICACHE_MISS_REQ_SUCCESS_total_count,         12964
INST_LOST_BREAK_ICACHE_MISS_REQ_SUCCESS_total_pct,        0.007

INST_LOST_BREAK_ICACHE_MISS_REQ_FAILURE_count,            45
INST_LOST_BREAK_ICACHE_MISS_REQ_FAILURE_pct,        0.000
INST_LOST_BREAK_ICACHE_MISS_REQ_FAILURE_total_count,           177
INST_LOST_BREAK_ICACHE_MISS_REQ_FAILURE_total_pct,        0.000

INST_LOST_BREAK_WAIT_FOR_MISS_count,        307945
INST_LOST_BREAK_WAIT_FOR_MISS_pct,        0.392
INST_LOST_BREAK_WAIT_FOR_MISS_total_count,        888340
INST_LOST_BREAK_WAIT_FOR_MISS_total_pct,        0.513

INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_count,       5592531
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_pct,        7.112
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_total_count,      10834639
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_total_pct,        6.251

INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_AND_ISSUE_WIDTH_count,             0
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_AND_ISSUE_WIDTH_pct,        0.000
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_AND_ISSUE_WIDTH_total_count,             0
INST_LOST_BREAK_UOP_CACHE_READ_LIMIT_AND_ISSUE_WIDTH_total_pct,        0.000

INST_LOST_BREAK_ICACHE_READ_LIMIT_count,         41811
INST_LOST_BREAK_ICACHE_READ_LIMIT_pct,        0.053
INST_LOST_BREAK_ICACHE_READ_LIMIT_total_count,         81287
INST_LOST_BREAK_ICACHE_READ_LIMIT_total_pct,        0.047

INST_LOST_BREAK_ICACHE_READ_LIMIT_AND_ISSUE_WIDTH_count,             0
INST_LOST_BREAK_ICACHE_READ_LIMIT_AND_ISSUE_WIDTH_pct,        0.000
INST_LOST_BREAK_ICACHE_READ_LIMIT_AND_ISSUE_WIDTH_total_count,             0
