Core, 0
Cumulative Cycles, 29564556            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.67649
Periodic Cycles, 13653417            
Periodic Instructions, 10000000            
Periodic IPC, 0.73242

BTB_ON_PATH_MISS_count,        866974
BTB_ON_PATH_MISS_pct,       27.773
BTB_ON_PATH_MISS_total_count,       1851547
BTB_ON_PATH_MISS_total_pct,       29.765

BTB_ON_PATH_HIT_count,       2254687
BTB_ON_PATH_HIT_pct,       72.227
BTB_ON_PATH_HIT_total_count,       4369040
BTB_ON_PATH_HIT_total_pct,       70.235
BTB_ON_PATH_HIT_sum_count,       3121661
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       6220587
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.72
BTB_ON_PATH_HIT_stddev,         0.66
BTB_ON_PATH_HIT_total_mean,         0.70
BTB_ON_PATH_HIT_total_stddev,         0.64

BTB_OFF_PATH_MISS_count,        535266
BTB_OFF_PATH_MISS_pct,       49.859
BTB_OFF_PATH_MISS_total_count,        928486
BTB_OFF_PATH_MISS_total_pct,       48.660

BTB_OFF_PATH_HIT_count,        538293
BTB_OFF_PATH_HIT_pct,       50.141
BTB_OFF_PATH_HIT_total_count,        979606
BTB_OFF_PATH_HIT_total_pct,       51.340
BTB_OFF_PATH_HIT_sum_count,       1073559
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       1908092
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.50
BTB_OFF_PATH_HIT_stddev,         0.50
BTB_OFF_PATH_HIT_total_mean,         0.51
BTB_OFF_PATH_HIT_total_stddev,         0.51

BTB_ON_PATH_WRITE_count,          1999
BTB_ON_PATH_WRITE_pct,       99.502
BTB_ON_PATH_WRITE_total_count,          5718
BTB_ON_PATH_WRITE_total_pct,       96.686

BTB_OFF_PATH_WRITE_count,            10
BTB_OFF_PATH_WRITE_pct,        0.498
BTB_OFF_PATH_WRITE_total_count,           196
BTB_OFF_PATH_WRITE_total_pct,        3.314
BTB_OFF_PATH_WRITE_sum_count,          2009
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,          5914
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.07
BTB_OFF_PATH_WRITE_total_mean,         0.03
BTB_OFF_PATH_WRITE_total_stddev,         0.18

BP_ON_PATH_CORRECT_count,       3112650
BP_ON_PATH_CORRECT_pct,       99.711
BP_ON_PATH_CORRECT_total_count,       6202749
BP_ON_PATH_CORRECT_total_pct,       99.713

BP_ON_PATH_MISPREDICT_count,          8907
BP_ON_PATH_MISPREDICT_pct,        0.285
BP_ON_PATH_MISPREDICT_total_count,         17592
BP_ON_PATH_MISPREDICT_total_pct,        0.283

BP_ON_PATH_MISFETCH_count,           104
BP_ON_PATH_MISFETCH_pct,        0.003
BP_ON_PATH_MISFETCH_total_count,           246
BP_ON_PATH_MISFETCH_total_pct,        0.004
BP_ON_PATH_MISFETCH_sum_count,       3121661
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       6220587
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.05
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.05

BP_OFF_PATH_CORRECT_count,       1071411
BP_OFF_PATH_CORRECT_pct,       99.800
BP_OFF_PATH_CORRECT_total_count,       1900719
BP_OFF_PATH_CORRECT_total_pct,       99.614

BP_OFF_PATH_MISPREDICT_count,           304
BP_OFF_PATH_MISPREDICT_pct,        0.028
BP_OFF_PATH_MISPREDICT_total_count,          1754
BP_OFF_PATH_MISPREDICT_total_pct,        0.092

BP_OFF_PATH_MISFETCH_count,          1844
BP_OFF_PATH_MISFETCH_pct,        0.172
BP_OFF_PATH_MISFETCH_total_count,          5619
BP_OFF_PATH_MISFETCH_total_pct,        0.294
BP_OFF_PATH_MISFETCH_sum_count,       1073559
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       1908092
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.00
BP_OFF_PATH_MISFETCH_stddev,         0.08
BP_OFF_PATH_MISFETCH_total_mean,         0.01
BP_OFF_PATH_MISFETCH_total_stddev,         0.11

LATE_BP_ON_PATH_CORRECT_count,       3121661
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       6220587
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       3121661
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       6220587
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,       1073559
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,       1908092
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,       1073559
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,       1908092
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_stddev,         -nan

