Core, 0
Cumulative Cycles, 14147693            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.41366
Periodic Cycles, 7135122             
Periodic Instructions, 10000000            
Periodic IPC, 1.40152

PREF_DL0REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_DL0REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_UMLC_REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_UMLC_REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_UL1REQ_QUEUE_HIT_BY_DEMAND_count,             0
PREF_UL1REQ_QUEUE_HIT_BY_DEMAND_total_count,             0

PREF_DL0REQ_QUEUE_FULL_count,             0
PREF_DL0REQ_QUEUE_FULL_total_count,             0

PREF_UMLC_REQ_QUEUE_FULL_count,             0
PREF_UMLC_REQ_QUEUE_FULL_total_count,             0

PREF_UL1REQ_QUEUE_FULL_count,         19567
PREF_UL1REQ_QUEUE_FULL_total_count,         29114

PREF_DC_HIT_NOSEND_count,             0
PREF_DC_HIT_NOSEND_total_count,             0

PREF_WBQDC_HIT_NOSEND_count,             0
PREF_WBQDC_HIT_NOSEND_total_count,             0

PREF_MLCQ_STALL_count,             0
PREF_MLCQ_STALL_total_count,             0

PREF_L1Q_STALL_count,             0
PREF_L1Q_STALL_total_count,             0

PREF_UMLC_REQ_SEND_QUEUE_STALL_count,             0
PREF_UMLC_REQ_SEND_QUEUE_STALL_total_count,             0

PREF_UL1REQ_SEND_QUEUE_STALL_count,       1193610
PREF_UL1REQ_SEND_QUEUE_STALL_total_count,       1968522

PREF_UMLC_REQ_QUEUE_SENTREQ_count,             0
PREF_UMLC_REQ_QUEUE_SENTREQ_total_count,             0

PREF_UL1REQ_QUEUE_SENTREQ_count,         86514
PREF_UL1REQ_QUEUE_SENTREQ_total_count,        156401

PREF_NEWREQ_MATCHED_count,          2020
PREF_NEWREQ_MATCHED_total_count,          4758

PREF_UMLC_REQ_QUEUE_MATCHED_REQ_count,             0
PREF_UMLC_REQ_QUEUE_MATCHED_REQ_total_count,             0

PREF_UL1REQ_QUEUE_MATCHED_REQ_count,          5231
PREF_UL1REQ_QUEUE_MATCHED_REQ_total_count,          9577

PREF_DL0REQ_QUEUE_MATCHED_REQ_count,             0
PREF_DL0REQ_QUEUE_MATCHED_REQ_total_count,             0

L1_PREF_HIT_count,         34840
L1_PREF_HIT_total_count,         66323

L1_PREF_UNIQUE_HIT_count,         31310
L1_PREF_UNIQUE_HIT_total_count,         58408

L1_PREF_LATE_count,          3234
L1_PREF_LATE_total_count,          6690

L1_LATE_PREF_CYCLES_count,        927067
L1_LATE_PREF_CYCLES_total_count,       1660775

L1_LATE_PREF_CYCLES_DIST_0_count,           862
L1_LATE_PREF_CYCLES_DIST_0_pct,       26.654
L1_LATE_PREF_CYCLES_DIST_0_total_count,          2242
L1_LATE_PREF_CYCLES_DIST_0_total_pct,       33.513

L1_LATE_PREF_CYCLES_DIST_100_count,           763
L1_LATE_PREF_CYCLES_DIST_100_pct,       23.593
L1_LATE_PREF_CYCLES_DIST_100_total_count,          1661
L1_LATE_PREF_CYCLES_DIST_100_total_pct,       24.828

L1_LATE_PREF_CYCLES_DIST_200_count,           554
L1_LATE_PREF_CYCLES_DIST_200_pct,       17.130
L1_LATE_PREF_CYCLES_DIST_200_total_count,          1005
L1_LATE_PREF_CYCLES_DIST_200_total_pct,       15.022

L1_LATE_PREF_CYCLES_DIST_300_count,           277
L1_LATE_PREF_CYCLES_DIST_300_pct,        8.565
L1_LATE_PREF_CYCLES_DIST_300_total_count,           462
L1_LATE_PREF_CYCLES_DIST_300_total_pct,        6.906

L1_LATE_PREF_CYCLES_DIST_400_count,           184
