Core, 0
Cumulative Cycles, 12223547            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.63619
Periodic Cycles, 5987645             
Periodic Instructions, 9999995             
Periodic IPC, 1.67010

EXECUTION_TIME_count, 1871139062500
EXECUTION_TIME_total_count, 3819858437500

NODE_CYCLE_count,       5987645
NODE_CYCLE_total_count,      12223547

NODE_INST_COUNT_count,       9999995
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999995
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12243018
NODE_UOP_COUNT_total_count,      24482518

FULL_WINDOW_STALL_count,        398340
FULL_WINDOW_STALL_pct,        6.653
FULL_WINDOW_STALL_total_count,        885109
FULL_WINDOW_STALL_total_pct,        7.241

FULL_WINDOW_MEM_OP_count,         22766
FULL_WINDOW_MEM_OP_pct,        7.343
FULL_WINDOW_MEM_OP_total_count,        184870
FULL_WINDOW_MEM_OP_total_pct,       25.778

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,        287275
FULL_WINDOW_OTHER_OP_pct,       92.657
FULL_WINDOW_OTHER_OP_total_count,        532286
FULL_WINDOW_OTHER_OP_total_pct,       74.222
FULL_WINDOW_OTHER_OP_sum_count,        310041
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        717156
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         1.85
FULL_WINDOW_OTHER_OP_stddev,         1.79
FULL_WINDOW_OTHER_OP_total_mean,         1.48
FULL_WINDOW_OTHER_OP_total_stddev,         1.35

RET_BLOCKED_DC_MISS_count,         61481
RET_BLOCKED_DC_MISS_pct,        1.027
RET_BLOCKED_DC_MISS_total_count,        399527
RET_BLOCKED_DC_MISS_total_pct,        3.269

RET_BLOCKED_L1_MISS_count,         41975
RET_BLOCKED_L1_MISS_pct,        0.701
RET_BLOCKED_L1_MISS_total_count,        277991
RET_BLOCKED_L1_MISS_total_pct,        2.274

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
