Core, 0
Cumulative Cycles, 6123000             
Cumulative Instructions, 20000000            
Cumulative IPC, 3.26637
Periodic Cycles, 2981801             
Periodic Instructions, 10000000            
Periodic IPC, 3.35368

EXECUTION_TIME_count,  931812812500
EXECUTION_TIME_total_count, 1913437500000

NODE_CYCLE_count,       2981801
NODE_CYCLE_total_count,       6123000

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      13135440
NODE_UOP_COUNT_total_count,      26271409

FULL_WINDOW_STALL_count,             0
FULL_WINDOW_STALL_pct,        0.000
FULL_WINDOW_STALL_total_count,          1201
FULL_WINDOW_STALL_total_pct,        0.020

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,          1115
FULL_WINDOW_MEM_OP_total_pct,      100.000

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,          1115
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.00

RET_BLOCKED_DC_MISS_count,         88300
RET_BLOCKED_DC_MISS_pct,        2.961
RET_BLOCKED_DC_MISS_total_count,        196461
RET_BLOCKED_DC_MISS_total_pct,        3.209

RET_BLOCKED_L1_MISS_count,             0
RET_BLOCKED_L1_MISS_pct,        0.000
RET_BLOCKED_L1_MISS_total_count,          3508
RET_BLOCKED_L1_MISS_total_pct,        0.057

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,            55
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.001

RET_BLOCKED_L1_ACCESS_count,         88300
RET_BLOCKED_L1_ACCESS_pct,        2.961
RET_BLOCKED_L1_ACCESS_total_count,        192991
RET_BLOCKED_L1_ACCESS_total_pct,        3.152

RET_BLOCKED_MEM_STALL_count,             0
RET_BLOCKED_MEM_STALL_pct,        0.000
RET_BLOCKED_MEM_STALL_total_count,          3508
RET_BLOCKED_MEM_STALL_total_pct,        0.057

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      13529701
OP_ISSUED_total_count,      27375530

OP_RETIRED_count,      13135440
OP_RETIRED_total_count,      26271409

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         24955
LD_NO_DEPENDENTS_pct,        0.817
LD_NO_DEPENDENTS_total_count,         53985
LD_NO_DEPENDENTS_total_pct,        0.885

LD_DEPENDENTS_count,       3027686
LD_DEPENDENTS_pct,       99.183
LD_DEPENDENTS_total_count,       6047366
LD_DEPENDENTS_total_pct,       99.115
LD_DEPENDENTS_sum_count,       3052641
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       6101351
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.99
LD_DEPENDENTS_stddev,         0.99
LD_DEPENDENTS_total_mean,         0.99
LD_DEPENDENTS_total_stddev,         0.99

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          1022
LD_EXEC_CYCLES_3_pct,       43.601
LD_EXEC_CYCLES_3_total_count,          2073
LD_EXEC_CYCLES_3_total_pct,       43.985

