workload,config,DCACHE_MISS_count,DCACHE_ST_BUFFER_HIT_count,DCACHE_HIT_count,DCACHE_MISS_COLD_count,DCACHE_MISS_CONFLICT_count,DCACHE_MISS_CAPACITY_count
500.perlbench_r,1,60616,1001,5022563,18155,17444,25017
500.perlbench_r,2,1376636,83239,3624312,18155,399214,959267
500.perlbench_r,3,1175416,38444,3870330,18155,287181,870080
500.perlbench_r,4,1293431,36555,3754204,18155,14522,1260754
500.perlbench_r,5,69780,330,5014070,18156,27801,23823
500.perlbench_r,6,41392,0,5042788,18155,47,23190
500.perlbench_r,7,41388,0,5042792,18155,20,23213
502.gcc_r,1,9540483,649,197045,647,2561,9537275
502.gcc_r,2,9578024,2908,157245,649,16509,9560866
502.gcc_r,3,9566427,1377,170373,648,4274,9561505
502.gcc_r,4,9564438,1345,172394,647,1548,9562243
502.gcc_r,5,9535317,614,202246,648,1522,9533147
502.gcc_r,6,9531147,580,206450,648,27,9530472
502.gcc_r,7,9515604,581,221992,647,0,9514957
503.bwaves_r,1,1621632,3067,6850520,386347,31810,1203475
503.bwaves_r,2,3462709,35438,4977070,386347,1862007,1214355
503.bwaves_r,3,2597340,30371,5847506,386347,950405,1260588
503.bwaves_r,4,1583293,0,6891926,386347,0,1196946
503.bwaves_r,5,1580196,1489,6893534,386347,32769,1161080
503.bwaves_r,6,1545141,0,6930076,386347,3029,1155765
503.bwaves_r,7,1540606,0,6934613,386347,0,1154259
505.mcf_r,1,660551,17136,3754117,71338,28004,561209
505.mcf_r,2,1075600,45357,3310847,71335,234145,770120
505.mcf_r,3,885182,29446,3517176,71339,44209,769634
505.mcf_r,4,865170,28022,3538612,71338,17572,776260
505.mcf_r,5,495829,12127,3923853,71337,60996,363496
505.mcf_r,6,455577,9662,3966574,71334,15096,369147
505.mcf_r,7,457654,10180,3963979,71336,9017,377301
507.cactuBSSN_r,1,9998581,9,466,156219,0,9842362
507.cactuBSSN_r,2,9998648,15,393,156224,64,9842360
507.cactuBSSN_r,3,9998579,10,467,156216,0,9842363
507.cactuBSSN_r,4,9998581,9,466,156219,0,9842362
507.cactuBSSN_r,5,9998582,10,464,156220,4,9842358
507.cactuBSSN_r,6,9998584,10,462,156221,0,9842363
507.cactuBSSN_r,7,9998584,9,463,156223,0,9842361
508.namd_r,1,211787,525,2648946,3015,118253,90519
